,,,,,Загальна інформація,,,,Надходження до місцевих бюджетів (загальний фонд),,,,,,,Частка місцевих податків в дохідній частині бюджету загального фонду ,,,,,,ПДФО та індекс податковспроможності,,,,,,,Акциз,,,,,,Плата за землю,,,,,,Єдиний податок,,,,,,Частка витрати на оплату праці загальнодержавних функцій,,,,,
Тернопільська область,Чортківський район,Скала-Подільська,селищна територіальна громада,UA61060350000024021,,10.323,10.238,184.9,62743.75288,40394.42052,-35.6%,7622.58196,9466.04467,5-20,24.2%,14.61384608,24.18566865,29.37,25.76,20-40,-12.3%,0.494090511,0,10489.8,1541.958458,0.508708445,0,10901.1,126.5301497,134.223334,29.9,24.1,менше 25,-19.4%,424.9729717,510.4895549,63.43,36.35,25-50,-42.7%,411.9786571,379.2728119,84.1,112.35,100-200,33.6%,13.13,23.00,29.7%,26.7%,20-30,-10.0%
Вінницька область,Жмеринський район,Северинівська,сільська територіальна громада,UA05060110000027268,,8.059,7.922,223.1,36646.45631,23370.06463,-36.2%,4323.85297,6107.00855,5-20,41.2%,16.71413096,30.94101439,32.73,23.20,20-40,-29.1%,0.42540107,0,9591.8,1327.592341,0.439249736,0,9940.6,54.54536751,53.8706452,13.0,10.6,менше 25,-18.5%,318.0789055,440.8357351,27.56,29.90,25-50,8.5%,421.5675886,434.8737014,79.7,116.97,100-200,46.8%,29.41,33.43,51.1%,26.8%,20-30,-47.5%
Одеська область,Ізмаїльський район,Суворовська,селищна територіальна громада,UA51080110000079212,,11.994,11.916,370.9,43341.68613,45079.73337,4.0%,8698.4642,12032.38998,5-20,38.3%,62.69654085,64.48322693,67.12,68.81,більше 40,2.5%,0.300991637,0,17946.1,939.3351817,0.247228378,0,21124.2,81.5810725,94.98621583,18.1,17.9,менше 25,-0.8%,1412.577135,1492.706621,188.87,308.80,більше 200,63.5%,825.3118517,905.2408905,203.5,282.27,200-500,38.7%,24.31,27.20,29.7%,26.8%,20-30,-9.8%
Черкаська область,Уманський район,Дмитрушківська,сільська територіальна громада,UA71060070000098837,,10.085,9.535,311.4,71167.11552,52683.72209,-26.0%,9621.49108,11676.65689,5-20,21.4%,22.02253303,32.02510165,32.53,32.12,20-40,-1.2%,0.752079211,0,3746.2,2347.090004,0.637553547,0,6832.3,781.2643671,930.5647644,196.4,305.9,більше 200,55.7%,610.7032315,699.5303106,18.48,14.52,менше 25,-21.4%,875.3384543,943.354803,188.8,224.46,200-500,18.9%,21.68,25.48,37.7%,26.8%,20-30,-28.9%
Запорізька область,Пологівський район,Федорівська,сільська територіальна громада,UA23100290000069212,,3.327,3.285,275,20115.04859,22250.88876,10.6%,5416.88109,4744.71767,менше 5,-12.4%,33.66999105,35.14075156,33.76,28.17,20-40,-16.6%,0.856730055,0,377,2673.684527,0.81375199,0,800.4,40.23353582,53.5032807,13.4,9.9,менше 25,-26.3%,828.5944585,913.4062485,3.14,3.15,менше 25,0.4%,1089.747034,1295.41902,346.6,279.41,200-500,-19.4%,24.17,20.19,15.1%,26.8%,20-30,77.6%
Волинська область,Камінь-Каширський район,Любешівська,селищна територіальна громада,UA07040030000028082,,30.21,29.976,1239.1,237383.733,76339.83987,-67.8%,16705.95312,18455.97129,5-20,10.5%,8.447764646,28.8080765,27.61,23.04,20-40,-16.5%,0.352827796,0,41363.9,1101.105552,0.383778787,0,42088.3,107.586524,124.7267408,25.2,21.4,менше 25,-14.9%,362.1288058,389.0625713,55.32,41.31,25-50,-25.3%,271.7905776,307.1458768,74.0,81.02,менше 100,9.5%,11.15,25.54,27.0%,26.8%,20-30,-0.8%
Хмельницька область,Хмельницький район,Сатанівська,селищна територіальна громада,UA68040350000083350,,10.108,9.946,339.1,71884.61438,44536.46992,-38.0%,10125.07784,9653.06416,5-20,-4.7%,24.14161744,42.51040227,44.13,48.44,більше 40,9.8%,0.708162099,0,4859.4,2210.033412,0.602028756,0,8074,179.7260556,198.0924745,40.8,28.8,25-50,-29.3%,721.5366223,804.479266,11.07,10.19,менше 25,-8.0%,894.0493298,951.8640066,255.4,260.40,200-500,2.0%,19.36,19.90,19.9%,26.8%,20-30,35.0%
Хмельницька область,Хмельницький район,Старосинявська,селищна територіальна громада,UA68040430000052699,,19.093,18.771,662.8,130881.6952,94782.85295,-27.6%,20984.46655,22680.81097,20-50,8.1%,19.01490539,31.34525863,30.02,30.91,20-40,3.0%,0.707543562,0,9234.1,2208.10308,0.779126997,0,6187.8,118.6130565,125.2290019,26.7,21.3,менше 25,-20.1%,573.133146,701.8835938,31.23,29.77,25-50,-4.7%,684.0385233,828.6612716,193.4,269.21,200-500,39.2%,19.79,26.34,22.3%,26.9%,20-30,20.5%
Чернігівська область,Чернігівський район,Ріпкинська,селищна територіальна громада,UA74100330000029082,,14.89,14.578,1013.3,76990.43502,74404.53436,-3.4%,16113.02092,13214.61402,5-20,-18.0%,33.04605697,36.33112092,33.98,35.92,20-40,5.7%,0.606681508,0,10953.2,1893.33262,0.647045071,0,10041.8,207.8612543,234.7452098,52.1,37.5,25-50,-27.9%,1017.214468,1064.752202,33.44,30.84,25-50,-7.8%,651.758257,748.433877,151.1,185.21,100-200,22.5%,25.80,28.16,30.9%,26.9%,20-30,-12.9%
Кіровоградська область,Кропивницький район,Дмитрівська,сільська територіальна громада,UA35040090000082553,,6.571,6.46,545.7,71632.64577,60163.00755,-16.0%,12283.21832,13558.09552,5-20,10.4%,37.76999139,53.89453467,61.51,59.90,більше 40,-2.6%,0.871469144,0,470.8,2719.6823,0.803291044,0,1705.7,319.0088638,436.9294662,95.1,58.2,50-100,-38.8%,2623.820352,3477.152592,47.24,47.24,25-50,0.0%,1345.638387,1332.573317,411.2,377.88,200-500,-8.1%,19.07,22.37,25.1%,26.9%,20-30,7.0%
Хмельницька область,Хмельницький район,Антонінська,селищна територіальна громада,UA68040010000025276,,10.497,10.339,392.7,70284.91331,50171.51711,-28.6%,9786.91119,10242.04408,5-20,4.7%,25.08024724,39.54813498,44.66,37.74,20-40,-15.5%,0.636936965,0,6906.6,1987.753899,0.694447309,0,5772.3,8.064356219,8.850091796,2.2,1.8,менше 25,-15.1%,712.7641793,772.8064344,10.33,15.61,менше 25,51.1%,923.904942,1077.802275,274.2,207.51,200-500,-24.3%,17.49,23.80,26.5%,27.0%,20-30,2.0%
Житомирська область,Житомирський район,Хорошівська,селищна територіальна громада,UA18040570000099817,,18.202,17.885,595.5,118202.9691,67826.1447,-42.6%,14114.30775,13814.99172,5-20,-2.1%,20.20654423,39.31494001,43.69,34.94,20-40,-20.0%,0.479872106,0,19162.5,1497.585637,0.476959081,0,20608.4,131.194766,154.4189328,30.6,25.0,25-50,-18.5%,871.4030029,917.356546,24.25,13.45,менше 25,-44.6%,397.5790821,517.2457706,147.6,147.95,100-200,0.3%,15.20,27.53,36.2%,27.0%,20-30,-25.4%
Донецька область,Волноваський район,Хлібодарівська,сільська територіальна громада,UA14040150000099558,,12.382,12.206,662.2,86248.27371,68857.53053,-20.2%,14746.51365,13144.14818,5-20,-10.9%,26.49395295,38.05015151,39.86,39.96,20-40,0.2%,0.617308567,0,12166.2,1926.497564,0.6848195,0,9567.5,23.76158081,28.10263335,8.4,6.3,менше 25,-24.5%,530.5792157,656.8867307,58.88,61.58,50-100,4.6%,731.8191768,864.5849176,292.2,277.93,200-500,-4.9%,23.10,23.70,33.4%,27.1%,20-30,-19.0%
Вінницька область,Вінницький район,Вороновицька,селищна територіальна громада,UA05020050000066991,,17.379,17.23,373.5,90665.9911,71296.71697,-21.4%,13198.36836,15730.70315,5-20,19.2%,17.63005232,28.74667609,30.3,30.33,20-40,0.1%,0.628498873,0,11820.2,1961.420289,0.608700303,0,13668.9,289.6258567,361.6699601,72.8,55.9,50-100,-23.2%,386.0238032,506.3958868,13.83,16.82,менше 25,21.7%,457.1962932,572.8151998,140.7,152.12,100-200,8.1%,20.22,23.40,31.7%,27.1%,20-30,-14.8%
Миколаївська область,Миколаївський район,Куцурубська,сільська територіальна громада,UA48060130000035572,,7.685,7.572,533.9,62067.44054,32572.29373,-47.5%,5924.75873,6697.83216,5-20,13.0%,18.76185766,38.5454654,41.12,31.97,20-40,-22.2%,0.640246171,0,5011.1,1998.081273,0.633298177,0,5511.6,22.50034684,19.2494354,5.3,4.9,менше 25,-7.9%,706.3431862,841.756896,19.41,10.91,менше 25,-43.8%,713.4787265,729.1576142,166.8,157.90,100-200,-5.3%,10.54,18.91,27.0%,27.1%,20-30,0.6%
Дніпропетровська область,Кам'янський район,Криничанська,селищна територіальна громада,UA12040170000019083,,19.392,19.105,689.5,138370.8522,95378.29085,-31.1%,19631.61452,18612.07244,5-20,-5.2%,19.21359422,30.54396829,28.53,28.13,20-40,-1.4%,0.81624164,0,4070,2547.328216,0.775656097,0,6486.9,281.4460839,417.6544861,69.9,59.7,50-100,-14.6%,419.8974757,416.5269385,16.57,23.46,менше 25,41.6%,892.641117,1037.624415,231.8,206.60,200-500,-10.9%,17.22,17.04,22.5%,27.1%,20-30,20.8%
Рівненська область,Дубенський район,Крупецька,сільська територіальна громада,UA56040150000039275,,9.062,8.967,297.9,61719.01072,45211.21031,-26.7%,9386.65111,9371.01345,5-20,-0.2%,13.60310483,18.12404082,24.09,23.44,20-40,-2.7%,0.865655836,0,779.9,2701.540119,0.893593336,0,156.3,172.7673524,230.1006529,40.3,39.6,25-50,-1.6%,317.2511875,303.4378245,12.28,28.30,25-50,130.5%,554.5088961,552.8329852,153.5,159.55,100-200,3.9%,23.03,26.27,28.8%,27.1%,20-30,-5.6%
Херсонська область,Каховський район,Таврійська,міська територіальна громада,UA65060250000073379,,17.188,16.992,250.7,65541.15702,84719.38781,29.3%,16931.07013,17390.35068,5-20,2.7%,42.34739442,34.34657184,39.06,37.56,20-40,-3.8%,0.540330116,0,15451.3,1686.263091,0.544348522,0,16501.4,257.8510972,454.0809117,87.8,76.1,50-100,-13.3%,925.9594932,906.8243611,128.27,94.87,50-100,-26.0%,579.1753839,654.5034739,162.7,170.88,100-200,5.0%,26.93,20.18,22.8%,27.1%,20-30,18.9%
Закарпатська область,Рахівський район,Ясінянська,селищна територіальна громада,UA21060070000049340,,18.754,18.712,528.6,59229.61548,58953.81614,-0.5%,14153.35727,13016.00778,5-20,-8.0%,26.67732311,36.0727206,32.27,26.74,20-40,-17.1%,0.349116915,0,25827.8,1089.524627,0.347257854,0,28075.7,111.0337116,148.7159635,34.6,27.3,25-50,-21.0%,457.8692454,513.4023057,85.48,30.06,25-50,-64.8%,268.0251834,442.35228,109.9,108.45,100-200,-1.3%,21.18,24.01,22.2%,27.1%,20-30,22.1%
Рівненська область,Сарненський район,Степанська,селищна територіальна громада,UA56080210000074337,,7.111,7.104,222.8,49224.40694,16370.99798,-66.7%,3995.45512,4061.96838,менше 5,1.7%,7.310593634,26.61466604,24.38,25.47,20-40,4.5%,0.230644411,0,11895.2,719.7954482,0.263336747,0,12281.3,53.9683043,49.67895766,10.9,7.7,менше 25,-28.9%,214.8788368,247.7462118,17.14,11.87,менше 25,-30.8%,235.0142175,299.033542,75.9,88.57,менше 100,16.6%,8.67,27.47,24.7%,27.2%,20-30,9.8%
Херсонська область,Каховський район,Горностаївська,селищна територіальна громада,UA65060070000037346,,15.05,14.885,757.2,97630.77893,67590.0769,-30.8%,11481.61749,12255.93296,5-20,6.7%,21.08513004,41.94503346,34.58,31.94,20-40,-7.6%,0.620273797,0,10542.7,1935.751457,0.606146437,0,11906.2,137.4479538,161.8178831,32.2,24.3,менше 25,-24.5%,710.9931585,993.4977806,7.04,5.21,менше 25,-26.0%,624.030779,835.2675529,160.1,177.27,100-200,10.7%,12.41,17.04,26.2%,27.2%,20-30,3.7%
Одеська область,Подільський район,Долинська,сільська територіальна громада,UA51120050000071748,,4.037,3.982,304.6,14335.61255,18418.43671,28.5%,2637.8293,4915.48299,менше 5,86.3%,40.47254046,51.67372888,62.96,35.65,20-40,-43.4%,0.479334002,0,4245.1,1495.906321,0.339550512,0,6060.2,9.731207323,14.80968381,3.8,1.7,менше 25,-56.4%,556.9276967,927.0294881,22.57,33.72,25-50,49.4%,874.4088892,1390.607473,284.0,299.94,200-500,5.6%,21.71,29.89,41.8%,27.3%,20-30,-34.6%
Донецька область,Краматорський район,Миколаївська,міська територіальна громада,UA14120130000086767,,21.202,20.943,334.3,157852.799,125488.9959,-20.5%,26359.39753,34561.8022,20-50,31.1%,11.71722099,15.52246647,18.65,13.26,10-20,-28.9%,1.242598773,5207.2,0,3877.904239,1.28520557,7366.7,0,106.078836,115.8355087,28.3,27.4,25-50,-3.2%,408.6611721,410.5712245,53.29,27.92,25-50,-47.6%,292.625203,342.5714343,103.2,106.64,100-200,3.3%,22.43,28.58,31.6%,27.3%,20-30,-13.5%
Житомирська область,Житомирський район,Новоборівська,селищна територіальна громада,UA18040330000027310,,8.448,8.289,210.3,70634.55331,41060.42071,-41.9%,8840.87889,8299.88928,5-20,-6.1%,29.87947817,58.23017996,59.07,47.76,більше 40,-19.1%,0.412850319,0,10305.2,1288.423935,0.409124093,0,11072.7,167.6851989,166.0859004,31.6,26.4,25-50,-16.5%,1974.143469,2257.207849,37.96,35.35,25-50,-6.9%,474.607616,575.0518621,149.4,135.14,100-200,-9.6%,13.45,26.00,20.9%,27.3%,20-30,30.9%
Кіровоградська область,Новоукраїнський район,Добровеличківська,селищна територіальна громада,UA35060050000025668,,13.651,13.458,591.2,103051.9064,96384.42632,-6.5%,23829.66004,22210.99118,20-50,-6.8%,31.07805517,36.33579882,32.35,36.88,20-40,14.0%,1.109111112,194.9,0,3461.315732,0.979081095,0,0,294.0018635,314.7835354,63.2,56.5,50-100,-10.6%,1211.962318,1399.288438,5.19,8.45,менше 25,62.8%,1064.579993,1105.336674,306.0,317.06,200-500,3.6%,20.54,19.88,20.1%,27.4%,20-30,36.1%
Закарпатська область,Ужгородський район,Перечинська,міська територіальна громада,UA21100130000055002,,12.592,12.497,120.2,88244.0226,61673.53314,-30.1%,14081.24229,15827.39482,5-20,12.4%,12.97029193,25.76109094,23.78,24.65,20-40,3.6%,0.973783055,0,0,3038.983717,0.865716546,0,1165.8,178.6242511,209.438033,44.1,38.5,25-50,-12.7%,397.8201013,644.5869622,69.98,98.44,50-100,40.7%,469.5849098,566.0707046,147.8,157.77,100-200,6.8%,19.99,23.37,20.6%,27.4%,20-30,32.6%
Тернопільська область,Тернопільський район,Іванівська,сільська територіальна громада,UA61040210000084270,,4.131,4.078,109.5,26111.31957,16875.37315,-35.4%,3116.40661,4555.75304,менше 5,46.2%,20.32234666,37.14344136,39.36,20.25,20-40,-48.6%,0.735294504,0,1706.9,2294.708263,0.693261874,0,2295,34.10913274,30.71271816,7.0,6.1,менше 25,-12.6%,276.8876897,258.3579418,-22.73,0.93,менше 25,-104.1%,949.7890773,1194.212254,283.6,202.82,200-500,-28.5%,21.05,27.11,36.2%,27.4%,20-30,-24.4%
Житомирська область,Житомирський район,Брусилівська,селищна територіальна громада,UA18040050000049937,,14.539,14.272,626.9,125522.722,93880.80238,-25.2%,20664.78122,21531.75644,20-50,4.2%,19.23490347,33.60641273,41,36.81,20-40,-10.2%,0.780495583,0,4394.2,2435.771863,0.804080378,0,3755.5,453.1659859,648.9782237,109.1,100.7,100-200,-7.7%,793.9901752,1138.656483,37.03,27.57,25-50,-25.5%,770.1620831,939.3110971,276.8,269.52,200-500,-2.6%,19.96,24.52,26.1%,27.4%,20-30,5.0%
Житомирська область,Новоград-Волинський район,Ємільчинська,селищна територіальна громада,UA18080130000032098,,22.058,21.579,1478.1,153370.9783,83490.08627,-45.6%,18445.79114,18771.48917,5-20,1.8%,14.45763873,30.64761157,34.12,33.72,20-40,-1.2%,0.531238806,0,20382.6,1657.890916,0.53947887,0,21185.3,126.9551615,141.8087084,28.7,21.9,менше 25,-23.6%,342.0366674,354.0278265,16.89,9.38,менше 25,-44.5%,634.6802317,790.3407753,199.7,215.22,200-500,7.8%,14.54,27.15,29.9%,27.4%,20-30,-8.2%
Волинська область,Володимир-Волинський район,Оваднівська,сільська територіальна громада,UA07020150000092012,,5.818,5.726,355.1,43094.21199,28490.01527,-33.9%,5562.27817,7148.40324,5-20,28.5%,17.81296206,39.95649062,41.24,34.09,20-40,-17.3%,0.569061461,0,4813.6,1775.927919,0.600307994,0,4665.4,269.2446756,334.5486596,62.5,41.0,25-50,-34.4%,779.9977635,1402.030929,39.15,34.65,25-50,-11.5%,497.9051219,515.3224508,152.1,177.64,100-200,16.8%,22.25,29.37,34.1%,27.5%,20-30,-19.6%
Львівська область,Самбірський район,Добромильська,міська територіальна громада,UA46080050000015399,,20.054,19.868,293.9,81247.61601,40817.35482,-49.8%,8273.31207,10817.30288,5-20,30.7%,14.69954116,35.18092146,40.29,42.53,більше 40,5.5%,0.253569929,0,32378.1,791.3414415,0.2712506,0,33908.6,59.58981906,65.10108377,16.3,13.2,менше 25,-18.8%,297.3562247,346.7001343,29.18,23.84,менше 25,-18.3%,264.9217934,327.7717318,82.8,115.45,100-200,39.4%,43.75,32.49,40.2%,27.5%,20-30,-31.6%
Дніпропетровська область,Криворізький район,Лозуватська,сільська територіальна громада,UA12060190000043514,,19.172,18.91,563.8,83098.22931,99509.90011,19.7%,20413.64241,22595.94848,20-50,10.7%,30.66421317,33.01821623,34.28,28.62,20-40,-16.5%,0.799678304,0,4817.5,2495.63733,0.759151798,0,7246.6,390.2020874,438.3772644,92.3,65.1,50-100,-29.5%,439.466057,534.6225916,53.32,53.96,50-100,1.2%,750.6226126,874.8508249,195.6,186.69,100-200,-4.5%,22.06,21.23,25.1%,27.5%,20-30,9.4%
Одеська область,Березівський район,Андрієво-Іванівська,сільська територіальна громада,UA51020010000012094,,5.298,5.233,306.5,21981.15039,26223.03952,19.3%,4729.55986,4735.95488,менше 5,0.1%,48.18153278,49.71425422,43.77,44.07,більше 40,0.7%,0.422438772,0,6321.6,1318.347595,0.430578838,0,6677,608.5618861,555.7592064,131.5,106.4,100-200,-19.1%,1262.065019,1680.757079,16.18,22.25,менше 25,37.5%,722.8550509,797.1886513,158.9,191.02,100-200,20.2%,31.27,21.97,27.4%,27.5%,20-30,0.5%
Київська область,Білоцерківський район,Таращанська,міська територіальна громада,UA32020190000084133,,26.468,26.01,757.3,113145.6488,142712.3117,26.1%,26701.91857,32557.64853,20-50,21.9%,32.8904373,28.61156128,31.7,31.42,20-40,-0.9%,0.809092423,0,6033.1,2525.016929,0.843123101,0,4049.9,236.6578745,290.5344758,58.4,47.7,25-50,-18.4%,397.9173403,387.7336835,5.46,6.97,менше 25,27.8%,946.29782,1084.680027,248.6,299.59,200-500,20.5%,23.45,25.15,30.2%,27.6%,20-30,-8.6%
Миколаївська область,Миколаївський район,Радсадівська,сільська територіальна громада,UA48060290000080246,,4.172,4.125,168.3,35506.51893,22040.42834,-37.9%,3972.95034,5293.59219,5-20,33.2%,16.24143367,30.34796641,40.43,33.84,20-40,-16.3%,0.847300108,0,553,2644.255532,0.876178882,0,268.1,23.44963597,23.81430328,5.5,4.0,менше 25,-26.6%,247.2341613,337.6974036,15.34,14.34,менше 25,-6.5%,985.6818749,1053.406929,295.0,319.83,200-500,8.4%,17.24,27.48,36.1%,27.6%,20-30,-23.6%
Херсонська область,Бериславський район,Високопільська,селищна територіальна громада,UA65020070000029027,,11.163,11.002,494.9,63826.13882,47326.11717,-25.9%,8077.76734,7417.69209,5-20,-8.2%,28.35730037,41.63093953,36,32.76,20-40,-9.0%,0.598364564,0,8433.7,1867.377087,0.637340275,0,7872.7,51.34178855,48.2172859,12.2,10.2,менше 25,-16.4%,885.9834985,935.4013154,14.83,14.20,менше 25,-4.3%,706.3894732,805.3223022,122.5,109.31,100-200,-10.8%,22.66,24.88,39.0%,27.6%,20-30,-29.1%
Чернівецька область,Вижницький район,Берегометська,селищна територіальна громада,UA73020030000022011,,18.447,18.387,491.9,53405.23739,55245.37266,3.4%,13318.14904,13625.03486,5-20,2.3%,25.40020122,30.96745198,30.64,25.25,20-40,-17.6%,0.380511577,0,23947.4,1187.501137,0.39427191,0,25251.3,188.7057821,184.7903603,48.1,42.0,25-50,-12.7%,308.0814612,340.4746269,50.39,43.09,25-50,-14.5%,376.5815105,508.3041226,124.6,111.85,100-200,-10.2%,21.74,28.34,25.7%,27.7%,20-30,7.5%
Донецька область,Волноваський район,Вугледарська,міська територіальна громада,UA14040050000064688,,26.338,25.98,596.5,210304.6584,188213.9357,-10.5%,30223.56378,31233.26825,20-50,3.3%,14.45935386,19.87536587,23.86,21.51,20-40,-9.9%,0.988445757,0,0,3084.743101,0.991962635,0,0,102.5679176,97.26379494,34.0,29.7,25-50,-12.6%,291.749954,418.5111559,17.17,11.60,менше 25,-32.4%,450.7774703,496.3535488,147.9,163.55,100-200,10.6%,21.13,22.14,27.6%,27.7%,20-30,0.3%
Вінницька область,Тульчинський район,Городківська,сільська територіальна громада,UA05100050000038768,,11.887,11.662,463.5,65844.51893,58100.20441,-11.8%,9186.86126,10891.61233,5-20,18.6%,30.7155042,34.8953353,43.88,37.16,20-40,-15.3%,0.916131884,0,0,2859.065848,0.7804428,0,3793.1,14.21540072,24.2026531,4.9,3.7,менше 25,-24.1%,473.8083912,495.4356286,13.42,11.10,менше 25,-17.3%,1103.796177,1087.805234,219.7,217.14,200-500,-1.2%,21.10,20.37,35.4%,27.7%,20-30,-21.8%
Тернопільська область,Тернопільський район,Скориківська,сільська територіальна громада,UA61040450000064468,,8.348,8.22,262.8,60398.18752,38235.35645,-36.7%,7083.14075,8019.88785,5-20,13.2%,16.06636815,28.12250406,38.21,27.58,20-40,-27.8%,0.914851585,0,0,2855.070291,0.957484307,0,0,59.96804694,63.43100438,14.4,11.4,менше 25,-20.7%,342.7449647,392.5648346,4.15,1.82,менше 25,-56.3%,758.4282852,845.3055533,249.3,218.95,200-500,-12.2%,22.81,27.99,31.6%,27.7%,20-30,-12.3%
Луганська область,Сєвєродонецький район,Гірська,міська територіальна громада,UA44120010000044132,,33.669,33.125,169.8,98628.37062,114010.2765,15.6%,17546.96826,25300.15715,20-50,44.2%,7.033974055,8.045496111,12.34,8.86,менше 10,-28.2%,0.568187356,0,32865.8,1773.20001,0.707787141,0,20344.1,17.50169738,19.58994949,4.7,3.7,менше 25,-21.1%,79.62721649,105.9971515,22.23,23.35,менше 25,5.0%,93.30711945,125.7121781,35.0,35.39,менше 100,1.2%,16.96,21.17,13.3%,27.7%,20-30,109.0%
Тернопільська область,Тернопільський район,Підгороднянська,сільська територіальна громада,UA61040390000066619,,7.383,7.346,123.7,29523.41998,34715.04337,17.6%,6844.33204,8277.13185,5-20,20.9%,33.13207466,34.17282503,36.85,35.23,20-40,-4.4%,0.524717603,0,6920.3,1637.539534,0.464549717,0,8695.3,256.2000217,243.8423318,43.4,56.5,50-100,30.1%,275.3971284,383.6375309,14.17,17.14,менше 25,21.0%,943.7859897,1107.966457,278.2,314.21,200-500,13.0%,26.57,26.73,37.8%,27.8%,20-30,-26.4%
Полтавська область,Кременчуцький район,Новогалещинська,селищна територіальна громада,UA53020130000091122,,4.761,4.692,193.6,32751.76484,37696.71839,15.1%,7398.80405,9571.36381,5-20,29.4%,38.19105148,52.31638904,49.86,52.71,більше 40,5.7%,0.417026999,0,5804.8,1301.458527,0.702578634,0,2540.3,99.07936228,137.7798566,26.5,25.2,25-50,-4.9%,1524.872883,2972.46046,92.47,144.38,100-200,56.1%,689.4009971,682.7689899,156.4,206.74,200-500,32.2%,33.69,28.77,25.6%,27.8%,20-30,8.5%
Тернопільська область,Тернопільський район,Збаразька,міська територіальна громада,UA61040150000098181,,39.341,38.915,590.8,159940.5993,169681.6438,6.1%,33900.82136,38451.14575,20-50,13.4%,27.3610291,31.50075412,33.14,31.52,20-40,-4.9%,0.570712785,0,32360,1781.081373,0.545245354,0,37481.4,180.4773838,199.7744043,40.0,32.7,25-50,-18.2%,464.7318894,507.8591104,41.46,39.77,25-50,-4.1%,556.7426058,676.3438513,162.0,176.88,100-200,9.2%,24.91,26.33,28.4%,27.8%,20-30,-2.2%
Київська область,Обухівський район,Ржищівська,міська територіальна громада,UA32120130000012946,,14.599,14.425,430.2,95644.27037,74647.16786,-22.0%,15806.82339,18187.89758,5-20,15.1%,22.56003469,33.51263839,34.56,33.41,20-40,-3.3%,0.811576143,0,3255.1,2532.768125,0.736106813,0,6472,208.562409,248.1523205,51.4,39.4,25-50,-23.3%,461.7280529,570.314854,21.74,22.96,менше 25,5.6%,929.1867467,1055.585679,249.4,298.01,200-500,19.5%,24.25,23.96,28.4%,27.9%,20-30,-1.9%
Черкаська область,Уманський район,Монастирищенська,міська територіальна громада,UA71060170000092613,,34.817,34.413,719.2,124166.8601,137142.5986,10.5%,26596.29634,30526.83856,20-50,14.8%,36.794259,37.42554548,41.17,41.64,більше 40,1.2%,0.600080473,0,26248.1,1872.732099,0.569374702,0,31074.3,116.849011,123.8582207,26.3,23.0,менше 25,-12.6%,364.8581925,353.0186815,9.55,13.12,менше 25,37.4%,863.823876,1034.599495,240.5,279.77,200-500,16.3%,24.70,19.99,25.6%,27.9%,20-30,8.7%
Сумська область,Роменський район,Недригайлівська,селищна територіальна громада,UA59060090000012687,,14.439,14.215,583.8,101451.6936,89577.27793,-11.7%,16296.83692,20161.52661,20-50,23.7%,26.32419088,28.13598809,32.12,31.97,20-40,-0.5%,0.839624583,0,2192.5,2620.301741,0.906005443,0,0,441.0737284,514.1931181,104.5,73.0,50-100,-30.2%,718.5155627,737.7881261,13.12,12.32,менше 25,-6.1%,1067.48298,952.254657,206.5,337.53,200-500,63.4%,23.26,23.27,32.0%,27.9%,20-30,-12.7%
Тернопільська область,Кременецький район,Лановецька,міська територіальна громада,UA61020090000020422,,22.007,21.71,479,116002.2692,82673.65925,-28.7%,19018.74605,20815.16235,20-50,9.4%,22.0244831,34.35799799,33.58,32.17,20-40,-4.2%,0.600064849,0,16511,1872.683342,0.583416198,0,18685,184.3693283,169.5963243,39.6,32.3,25-50,-18.4%,451.6122536,522.7871174,60.33,32.91,25-50,-45.5%,666.3624074,726.6930403,140.1,203.76,200-500,45.4%,20.13,23.34,27.0%,27.9%,20-30,3.6%
Полтавська область,Кременчуцький район,Оболонська,сільська територіальна громада,UA53020150000098867,,5.969,5.858,465.9,40674.30615,32931.18185,-19.0%,6125.31508,6338.73705,5-20,3.5%,29.40535262,44.16687529,47.12,47.14,більше 40,0.0%,0.881012335,0,283.4,2749.464704,0.807184392,0,1483.9,64.5340532,70.85630686,14.2,14.4,менше 25,1.3%,913.510624,1197.839728,6.35,8.54,менше 25,34.3%,1064.112129,1230.750378,286.9,291.66,200-500,1.6%,27.92,23.50,32.9%,27.9%,20-30,-15.1%
Черкаська область,Звенигородський район,Селищенська,сільська територіальна громада,UA71020250000078192,,6.547,6.415,267.4,46766.12569,35801.75302,-23.4%,6146.13233,7017.11506,5-20,14.2%,28.13951354,38.22818448,50.38,47.38,більше 40,-6.0%,0.68229653,0,3584,2129.312102,0.688935567,0,3696.9,47.69763876,55.20383579,10.8,10.4,менше 25,-3.6%,1140.165284,1203.835221,18.01,18.66,менше 25,3.6%,821.5704368,878.7143842,227.2,250.53,200-500,10.3%,23.91,23.26,29.9%,28.0%,20-30,-6.4%
Вінницька область,Тульчинський район,Шпиківська,селищна територіальна громада,UA05100170000071290,,16.368,16.084,478.9,76975.7946,52091.82562,-32.3%,9848.61362,11010.46225,5-20,11.8%,24.14019232,38.34981749,40.37,43.61,більше 40,8.0%,0.492954727,0,16683.7,1538.4139,0.438135827,0,20216.2,114.4346854,116.5712553,25.4,23.4,менше 25,-7.7%,555.0702199,567.4028597,21.08,34.77,25-50,64.9%,524.0680124,597.4879177,136.9,166.46,100-200,21.6%,22.39,25.16,35.7%,28.0%,20-30,-21.7%
